path,label
D:/GenVideo/fake/Latte/train_Latte/Latte_18671.mp4,1
D:/GenVideo/real/Kinetics/rRg_Eof2gmg_000001_000011.mp4,0
D:/GenVideo/real/Youku/Youku_1M_10s/0100000_0109999/yplug_pre_train_0102956_34_10.mp4,0
D:/GenVideo/fake/Latte/train_Latte/Latte_58785.mp4,1
D:/GenVideo/real/Kinetics/MOI7ZlsedSw_000240_000250.mp4,0
D:/GenVideo/real/Kinetics/WPD_6gTGgtg_000009_000019.mp4,0
D:/GenVideo/real/Youku/Youku_1M_10s/0260000_0269999/yplug_pre_train_0260846_59_10.mp4,0
D:/GenVideo/fake/Latte/train_Latte/Latte_146537.mp4,1
D:/GenVideo/fake/OpenSora/train_OpenSora/OpenSoraL_72700.mp4,1
D:/GenVideo/fake/Latte/train_Latte/Latte_27491.mp4,1
D:/GenVideo/real/Kinetics/Yxu_fWrb2-U_000470_000480.mp4,0
D:/GenVideo/real/Kinetics/t8Im9mHnxiM_000377_000387.mp4,0
D:/GenVideo/real/Kinetics/x0LZDY9latg_000001_000011.mp4,0
D:/GenVideo/fake/OpenSora/train_OpenSora/OpenSoraL_36251.mp4,1
D:/GenVideo/fake/DynamicCrafter/train_DynamicCrafter/DynamicCrafter_13516.mp4,1
D:/GenVideo/fake/Latte/train_Latte/Latte_138478.mp4,1
D:/GenVideo/fake/SEINE/train_SEINE/SEINE_8915.mp4,1
D:/GenVideo/fake/SEINE/train_SEINE/SEINE_16167.mp4,1
D:/GenVideo/fake/Pika/train_pika/Pika_71311.mp4,1
D:/GenVideo/real/Youku/Youku_1M_10s/0100000_0109999/yplug_pre_train_0107179_31_10.mp4,0
D:/GenVideo/fake/OpenSora/train_OpenSora/OpenSoraL_165958.mp4,1
D:/GenVideo/fake/Latte/train_Latte/Latte_34946.mp4,1
D:/GenVideo/real/Kinetics/Op6NBpbWi74_000140_000150.mp4,0
D:/GenVideo/fake/Latte/train_Latte/Latte_66839.mp4,1
D:/GenVideo/real/Youku/Youku_1M_10s/0260000_0269999/yplug_pre_train_0267308_8_10.mp4,0
D:/GenVideo/real/Kinetics/aKNZaatN96Y_000063_000073.mp4,0
D:/GenVideo/real/Kinetics/oArh4q7cOMQ_000007_000017.mp4,0
D:/GenVideo/real/Kinetics/a90DuM7Xtv4_000098_000108.mp4,0
D:/GenVideo/fake/OpenSora/train_OpenSora/OpenSoraL_138280.mp4,1
D:/GenVideo/real/Kinetics/CUSKcEdzbE8_000004_000014.mp4,0
D:/GenVideo/real/Kinetics/Mznn2Ax1nyw_000031_000041.mp4,0
D:/GenVideo/real/Youku/Youku_1M_10s/0710000_0719999/yplug_pre_train_0717165_8_10.mp4,0
D:/GenVideo/fake/DynamicCrafter/train_DynamicCrafter/DynamicCrafter_35680.mp4,1
D:/GenVideo/real/Kinetics/ykLLB37wtLI_000025_000035.mp4,0
D:/GenVideo/real/Kinetics/4VGbJ9O_GfA_000107_000117.mp4,0
D:/GenVideo/real/Kinetics/ABQoKxc_I0c_000031_000041.mp4,0
D:/GenVideo/fake/OpenSora/train_OpenSora/OpenSoraL_120560.mp4,1
D:/GenVideo/fake/DynamicCrafter/train_DynamicCrafter/DynamicCrafter_1599.mp4,1
D:/GenVideo/real/Kinetics/oEGUYW2nqP8_000259_000269.mp4,0
D:/GenVideo/fake/Pika/train_pika/Pika_83648.mp4,1
D:/GenVideo/real/Youku/Youku_1M_10s/0100000_0109999/yplug_pre_train_0108145_24_10.mp4,0
D:/GenVideo/fake/OpenSora/train_OpenSora/OpenSoraL_44708.mp4,1
D:/GenVideo/fake/OpenSora/train_OpenSora/OpenSoraL_154449.mp4,1
D:/GenVideo/fake/Latte/train_Latte/Latte_117666.mp4,1
D:/GenVideo/fake/OpenSora/train_OpenSora/OpenSoraL_120944.mp4,1
D:/GenVideo/fake/Pika/train_pika/Pika_63638.mp4,1
D:/GenVideo/fake/SEINE/train_SEINE/SEINE_5866.mp4,1
D:/GenVideo/real/Kinetics/bs1oNvOQysU_000015_000025.mp4,0
D:/GenVideo/real/msrvtt_59.mp4,0
D:/GenVideo/fake/OpenSora/train_OpenSora/OpenSoraL_42338.mp4,1
D:/GenVideo/real/Kinetics/mKVVuLmvVY0_000010_000020.mp4,0
D:/GenVideo/fake/OpenSora/train_OpenSora/OpenSoraL_56730.mp4,1
D:/GenVideo/fake/DynamicCrafter/train_DynamicCrafter/DynamicCrafter_28162.mp4,1
D:/GenVideo/real/Kinetics/x3uE3Zl3Q-Q_000068_000078.mp4,0
D:/GenVideo/fake/Latte/train_Latte/Latte_44865.mp4,1
D:/GenVideo/fake/OpenSora/train_OpenSora/OpenSoraL_78612.mp4,1
D:/GenVideo/real/Kinetics/CjvlVXkz1xE_000270_000280.mp4,0
D:/GenVideo/real/Kinetics/3hcxSAtZrv0_000097_000107.mp4,0
D:/GenVideo/real/Kinetics/mLp37ajsclA_000323_000333.mp4,0
D:/GenVideo/real/Youku/Youku_1M_10s/0000000_0009999/yplug_pre_train_0006968_18_10.mp4,0
D:/GenVideo/fake/Latte/train_Latte/Latte_53918.mp4,1
D:/GenVideo/real/Youku/Youku_1M_10s/0800000_0809999/yplug_pre_train_0808040_8_10.mp4,0
D:/GenVideo/real/Kinetics/G4K59RpGhsI_000002_000012.mp4,0
D:/GenVideo/real/Kinetics/oFuBFRDFXMI_000003_000013.mp4,0
D:/GenVideo/fake/OpenSora/train_OpenSora/OpenSoraL_83618.mp4,1
